t,phase,X,S_left,Sub_v,status
0,ana,1,2,-2,optimal
0.2,ana,1,1.6,-2,optimal
0.4,ana,1,1.2,-2,optimal
0.6,ana,1,0.8,-2,optimal
0.8,ana,1,0.4,-2,optimal
1,ana,1,0,-2,optimal
1.2,ana,1,0,0,optimal
1.4,ana,1,0,0,optimal
1.6,aer,1.196832047,0,0,optimal
1.8,aer,1.423723329,0,0,optimal
2,aer,1.693627874,0,0,optimal
2.2,aer,2.01469999,0,0,optimal
2.4,aer,2.396639848,0,0,optimal
2.6,aer,2.850986543,0,0,optimal
2.8,aer,3.391466714,0,0,optimal
3,aer,4.034409246,0,0,optimal
3.2,aer,4.799238601,0,0,optimal
3.4,aer,5.70906166,0,0,optimal
3.6,aer,6.791365828,0,0,optimal
3.8,aer,8.078849478,0,0,optimal
4,aer,9.610409827,0,0,optimal
4.2,aer,11.43231809,0,0,optimal
4.4,aer,13.59961742,0,0,optimal